"orderid","orderdate","ordertime","deliverytimeminutes","orderstatus","paymentmethod","customerid","customer_name","customer_city","restaurantid","restaurant_name","restaurant_city","cuisine","orderitemid","fooditemid","foodname","food_category","quantity","unitprice","item_total_price","foodcost","deliveryfee","discount","couponcode","campaignname","gst","order_final_amount","customerrating","deliveryrating","foodrating","review","sentiment","temperature","rainfall","weathercondition"
105623,"2023-05-08","10:59:00",63,"Delivered Late","Wallet",10932,"Panini Garg","Chandigarh",417,"Grand Bites","Ludhiana","Mexican",NULL,NULL,NULL,NULL,NULL,NULL,NULL,383.00,0.00,0.00,NULL,NULL,19.15,402.15,5,4,5,"Delivery partner was very polite.","Positive",32.20,124.20,"Clear"
105623,"2023-05-08","10:59:00",63,"Delivered Late","Wallet",10932,"Panini Garg","Chandigarh",417,"Grand Bites","Ludhiana","Mexican",NULL,NULL,NULL,NULL,NULL,NULL,NULL,383.00,0.00,0.00,NULL,NULL,19.15,402.15,5,4,5,"Delivery partner was very polite.","Positive",33.50,9.10,"Rainy"
105624,"2024-07-26","11:33:00",25,"Cancelled","Cash on Delivery",2774,"Eiravati Ahluwalia","Visakhapatnam",78,"Blue Treats","Pune","Biryani",NULL,NULL,NULL,NULL,NULL,NULL,NULL,673.00,40.00,0.00,NULL,NULL,33.65,746.65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
105625,"2024-11-19","10:24:00",27,"Cancelled","Wallet",9637,"Tanay Goswami","Guwahati",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,454.00,30.00,0.00,NULL,NULL,22.70,506.70,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
105626,"2023-10-06","13:48:00",35,"Cancelled","Debit Card",10361,"Prisha Bobal","Bhopal",904,"Grand Grill","Indore","Italian",NULL,NULL,NULL,NULL,NULL,NULL,NULL,747.00,49.00,0.00,NULL,NULL,37.35,833.35,NULL,NULL,NULL,NULL,NULL,33.10,28.60,"Clear"
105627,"2023-06-25","07:23:00",54,"Cancelled","Wallet",10362,"Aahana Barad","Pune",466,"Golden Bites","Kochi","North Indian",NULL,NULL,NULL,NULL,NULL,NULL,NULL,656.00,25.00,131.20,"ZOMSNVD3","Mega Cashback Week",32.80,582.60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
105628,"2024-03-03","12:14:00",44,"Delivered","UPI",10914,"Warda Ramakrishnan","Vadodara",720,"Blue House","Kochi","Pizza",NULL,NULL,NULL,NULL,NULL,NULL,NULL,144.00,0.00,0.00,NULL,NULL,7.20,151.20,NULL,4,4,"Great food and fast delivery!","Positive",NULL,NULL,NULL
105629,"2024-02-12","22:46:00",28,"Cancelled","UPI",9694,"Eshana Sane","Visakhapatnam",925,"Curry Hub","Visakhapatnam","Continental",NULL,NULL,NULL,NULL,NULL,NULL,NULL,395.00,20.00,0.00,NULL,NULL,19.75,434.75,NULL,NULL,NULL,NULL,NULL,11.10,14.50,"Clear"
105630,"2023-07-30","11:04:00",15,"Food Not Delivered","Net Banking",6561,"Logan Parmar","Hyderabad",972,"Grand Kitchen","Delhi","Desserts",NULL,NULL,NULL,NULL,NULL,NULL,NULL,216.00,49.00,86.40,"ZOMK85Q4","App Exclusive Deal",10.80,189.40,3,2,3,"Average experience.","Neutral",NULL,NULL,NULL
105631,"2023-03-03","17:46:00",42,"Delivered","UPI",9337,"Maanas Behl","Ludhiana",674,"The House","Delhi","Italian",NULL,NULL,NULL,NULL,NULL,NULL,NULL,543.00,25.00,54.30,"ZOM56ERP","Late Night Cravings",27.15,540.85,3,2,3,"Delivery was on time but food was mediocre.","Neutral",31.70,5.90,"Clear"
105631,"2023-03-03","17:46:00",42,"Delivered","UPI",9337,"Maanas Behl","Ludhiana",674,"The House","Delhi","Italian",NULL,NULL,NULL,NULL,NULL,NULL,NULL,543.00,25.00,54.30,"ZOM56ERP","Late Night Cravings",27.15,540.85,3,2,3,"Delivery was on time but food was mediocre.","Neutral",26.60,0.00,"Cloudy"
105632,"2023-07-29","21:27:00",27,"Delivered","UPI",952,"hiral dube","Raipur",1057,"Urban Point","Bhopal","Thai",NULL,NULL,NULL,NULL,NULL,NULL,NULL,441.00,20.00,0.00,NULL,NULL,22.05,483.05,4,4,3,"Delivery partner was very polite.","Positive",28.00,157.20,"Rainy"
105633,"2024-12-15","10:33:00",29,"Delivered","Wallet",207,"Adya Bose","Ahmedabad",1063,"The Bites","Hyderabad","Bakery",NULL,NULL,NULL,NULL,NULL,NULL,NULL,180.00,20.00,36.00,"ZOMRYX4S","Festive Feast",9.00,173.00,5,5,5,"Delivery partner was very polite.","Positive",17.00,0.00,"Cloudy"
105633,"2024-12-15","10:33:00",29,"Delivered","Wallet",207,"Adya Bose","Ahmedabad",1063,"The Bites","Hyderabad","Bakery",NULL,NULL,NULL,NULL,NULL,NULL,NULL,180.00,20.00,36.00,"ZOMRYX4S","Festive Feast",9.00,173.00,5,5,5,"Delivery partner was very polite.","Positive",16.30,0.80,"Stormy"
105633,"2024-12-15","10:33:00",29,"Delivered","Wallet",207,"Adya Bose","Ahmedabad",1063,"The Bites","Hyderabad","Bakery",NULL,NULL,NULL,NULL,NULL,NULL,NULL,180.00,20.00,36.00,"ZOMRYX4S","Festive Feast",9.00,173.00,5,5,5,"Delivery partner was very polite.","Positive",17.00,8.40,"Clear"
105633,"2024-12-15","10:33:00",29,"Delivered","Wallet",207,"Adya Bose","Ahmedabad",1063,"The Bites","Hyderabad","Bakery",NULL,NULL,NULL,NULL,NULL,NULL,NULL,180.00,20.00,36.00,"ZOMRYX4S","Festive Feast",9.00,173.00,5,5,4,"Delivery partner was very polite.","Positive",17.00,0.00,"Cloudy"
105633,"2024-12-15","10:33:00",29,"Delivered","Wallet",207,"Adya Bose","Ahmedabad",1063,"The Bites","Hyderabad","Bakery",NULL,NULL,NULL,NULL,NULL,NULL,NULL,180.00,20.00,36.00,"ZOMRYX4S","Festive Feast",9.00,173.00,5,5,4,"Delivery partner was very polite.","Positive",16.30,0.80,"Stormy"
105633,"2024-12-15","10:33:00",29,"Delivered","Wallet",207,"Adya Bose","Ahmedabad",1063,"The Bites","Hyderabad","Bakery",NULL,NULL,NULL,NULL,NULL,NULL,NULL,180.00,20.00,36.00,"ZOMRYX4S","Festive Feast",9.00,173.00,5,5,4,"Delivery partner was very polite.","Positive",17.00,8.40,"Clear"
105634,"2023-04-02","21:35:00",33,"Delivered","Cash on Delivery",3147,"Pratyush Chacko","Patna",465,"Royal Cafe","Jaipur","Bakery",NULL,NULL,NULL,NULL,NULL,NULL,NULL,351.00,0.00,175.50,"ZOMFD0BT","New User Special",17.55,193.05,5,5,4,"Packaging was excellent and food was hot.","Positive",32.90,0.00,"Cloudy"
105635,"2023-11-25","22:00:00",55,"Delivered","Debit Card",3942,"Chasmum Dhar","Indore",572,"Tasty Cafe","Visakhapatnam","Healthy Food",NULL,NULL,NULL,NULL,NULL,NULL,NULL,441.00,0.00,0.00,NULL,NULL,22.05,463.05,2,3,3,"Food arrived cold and late.","Negative",19.70,0.00,"Foggy"
105636,"2024-11-14","20:30:00",32,"Delivered","Credit Card",6281,"Falak Ahuja","Raipur",466,"Golden Bites","Kochi","North Indian",NULL,NULL,NULL,NULL,NULL,NULL,NULL,436.00,0.00,109.00,"ZOM7HWRZ","Payday Delight",21.80,348.80,3,4,3,"Food was okay, nothing special.","Neutral",24.30,0.00,"Rainy"
105636,"2024-11-14","20:30:00",32,"Delivered","Credit Card",6281,"Falak Ahuja","Raipur",466,"Golden Bites","Kochi","North Indian",NULL,NULL,NULL,NULL,NULL,NULL,NULL,436.00,0.00,109.00,"ZOM7HWRZ","Payday Delight",21.80,348.80,3,4,3,"Food was okay, nothing special.","Neutral",25.90,5.90,"Clear"
105637,"2023-03-28","10:52:00",86,"Delivered Late","Debit Card",456,"Abdul Palla","Lucknow",496,"Green Treats","Guwahati","Burgers",NULL,NULL,NULL,NULL,NULL,NULL,NULL,451.00,20.00,0.00,NULL,NULL,22.55,493.55,5,5,5,"Loved the taste, will order again.","Positive",35.00,2.30,"Foggy"
105638,"2024-08-13","11:26:00",31,"Delivered","UPI",6873,"Wridesh Sinha","Kochi",372,"Curry Kitchen","Coimbatore","Street Food",NULL,NULL,NULL,NULL,NULL,NULL,NULL,577.00,0.00,0.00,NULL,NULL,28.85,605.85,2,3,2,"Order was incomplete.","Negative",NULL,NULL,NULL
105639,"2024-03-22","14:56:00",32,"Delivered","UPI",9855,"Triveni Saraf","Vadodara",814,"Blue House","Surat","Seafood",NULL,NULL,NULL,NULL,NULL,NULL,NULL,117.00,25.00,0.00,NULL,NULL,5.85,147.85,5,5,4,"Great food and fast delivery!","Positive",NULL,NULL,NULL
105640,"2023-01-17","09:02:00",19,"Delivered","UPI",1857,"Ekanta Ravi","Jaipur",345,"Golden Corner","Pune","Street Food",NULL,NULL,NULL,NULL,NULL,NULL,NULL,81.00,49.00,32.40,"ZOM2GW3X","New User Special",4.05,101.65,3,4,3,"Delivery was on time but food was mediocre.","Neutral",19.10,7.10,"Foggy"
105641,"2023-01-20","17:52:00",36,"Cancelled","UPI",7943,"Upadhriti Seshadri","Bhubaneswar",1041,"Tasty Bites","Ahmedabad","Chinese",NULL,NULL,NULL,NULL,NULL,NULL,NULL,287.00,40.00,43.05,"ZOMKHWCU","Republic Day Offer",14.35,298.30,NULL,NULL,NULL,NULL,NULL,23.60,0.00,"Clear"
105641,"2023-01-20","17:52:00",36,"Cancelled","UPI",7943,"Upadhriti Seshadri","Bhubaneswar",1041,"Tasty Bites","Ahmedabad","Chinese",NULL,NULL,NULL,NULL,NULL,NULL,NULL,287.00,40.00,43.05,"ZOMKHWCU","Republic Day Offer",14.35,298.30,NULL,NULL,NULL,NULL,NULL,17.50,0.00,"Rainy"
105642,"2024-03-18","20:10:00",27,"Delivered","Net Banking",3157,"Reva Subramanian","Pune",232,"Curry Treats","Kolkata","Healthy Food",NULL,NULL,NULL,NULL,NULL,NULL,NULL,385.00,30.00,115.50,"ZOMRHK2F","Weekend Bonanza",19.25,318.75,5,5,4,NULL,"Positive",NULL,NULL,NULL
105643,"2023-02-24","12:53:00",38,"Delivered","Wallet",847,"Krish Patla","Coimbatore",206,"Blue Bites","Jaipur","Burgers",NULL,NULL,NULL,NULL,NULL,NULL,NULL,366.00,20.00,0.00,NULL,NULL,18.30,404.30,5,5,5,"Best biryani in town!","Positive",22.60,1.20,"Clear"
105644,"2024-12-03","13:06:00",29,"Food Not Delivered","UPI",7073,"Neel Bhandari","Hyderabad",1054,"Royal Diner","Delhi","Italian",NULL,NULL,NULL,NULL,NULL,NULL,NULL,459.00,49.00,0.00,NULL,NULL,22.95,530.95,3,2,3,NULL,"Neutral",21.70,5.10,"Rainy"
105645,"2023-09-15","13:44:00",22,"Cancelled","Debit Card",11516,"Raksha Rout","Nagpur",160,"Royal House","Vadodara","Desserts",NULL,NULL,NULL,NULL,NULL,NULL,NULL,172.00,20.00,34.40,"ZOMLJCNH","Weekend Bonanza",8.60,166.20,NULL,NULL,NULL,NULL,NULL,28.30,0.00,"Cloudy"
105645,"2023-09-15","13:44:00",22,"Cancelled","Debit Card",11516,"Raksha Rout","Nagpur",160,"Royal House","Vadodara","Desserts",NULL,NULL,NULL,NULL,NULL,NULL,NULL,172.00,20.00,34.40,"ZOMLJCNH","Weekend Bonanza",8.60,166.20,NULL,NULL,NULL,NULL,NULL,22.10,111.00,"Clear"
105646,"2024-06-19","19:54:00",60,"Cancelled","UPI",7481,"Suhani Nigam","Jaipur",328,"Green Treats","Kochi","Italian",NULL,NULL,NULL,NULL,NULL,NULL,NULL,60.00,49.00,0.00,NULL,NULL,3.00,112.00,NULL,NULL,NULL,NULL,NULL,20.10,0.00,"Clear"
105646,"2024-06-19","19:54:00",60,"Cancelled","UPI",7481,"Suhani Nigam","Jaipur",328,"Green Treats","Kochi","Italian",NULL,NULL,NULL,NULL,NULL,NULL,NULL,60.00,49.00,0.00,NULL,NULL,3.00,112.00,NULL,NULL,NULL,NULL,NULL,25.90,0.00,"Rainy"
105647,"2024-02-15","09:59:00",28,"Delivered","Cash on Delivery",2712,"Yashodhara Sane","Pune",1089,"Curry Cafe","Vadodara","Desserts",NULL,NULL,NULL,NULL,NULL,NULL,NULL,122.00,30.00,0.00,NULL,NULL,6.10,158.10,2,2,1,"Order was incomplete.","Negative",NULL,NULL,NULL
105648,"2024-01-09","13:03:00",23,"Food Not Delivered","Credit Card",1195,"Sathvik Barad","Patna",160,"Royal House","Vadodara","Desserts",NULL,NULL,NULL,NULL,NULL,NULL,NULL,511.00,40.00,0.00,NULL,NULL,25.55,576.55,5,4,5,"Loved the taste, will order again.","Positive",16.20,0.20,"Humid"
105649,"2023-07-07","10:46:00",41,"Delivered","UPI",7601," Ikbal Bains  ","Raipur",411,"Blue Point","Lucknow","Continental",NULL,NULL,NULL,NULL,NULL,NULL,NULL,472.00,40.00,0.00,NULL,NULL,23.60,535.60,5,4,5,"Packaging was excellent and food was hot.","Positive",NULL,NULL,NULL
105650,"2023-09-12","17:42:00",43,"Cancelled","Wallet",11585,"Zansi Saran","Mumbai",1177,"The Cafe","Chennai","South Indian",NULL,NULL,NULL,NULL,NULL,NULL,NULL,651.00,25.00,0.00,NULL,NULL,32.55,708.55,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
105651,"2024-04-01","18:39:00",35,"Delivered","Debit Card",7224," Janaki Sachar  ","Raipur",848,"Tasty Diner","Coimbatore","Fast Food",NULL,NULL,NULL,NULL,NULL,NULL,NULL,99.00,20.00,0.00,NULL,NULL,4.95,123.95,4,5,4,"Great food and fast delivery!","Positive",31.40,8.70,"Clear"
105651,"2024-04-01","18:39:00",35,"Delivered","Debit Card",7224," Janaki Sachar  ","Raipur",848,"Tasty Diner","Coimbatore","Fast Food",NULL,NULL,NULL,NULL,NULL,NULL,NULL,99.00,20.00,0.00,NULL,NULL,4.95,123.95,4,5,4,"Great food and fast delivery!","Positive",28.20,35.20,"Clear"
105651,"2024-04-01","18:39:00",35,"Delivered","Debit Card",7224," Janaki Sachar  ","Raipur",848,"Tasty Diner","Coimbatore","Fast Food",NULL,NULL,NULL,NULL,NULL,NULL,NULL,99.00,20.00,0.00,NULL,NULL,4.95,123.95,4,5,4,"Great food and fast delivery!","Positive",34.80,29.70,"Clear"
105651,"2024-04-01","18:39:00",35,"Delivered","Debit Card",7224," Janaki Sachar  ","Raipur",848,"Tasty Diner","Coimbatore","Fast Food",NULL,NULL,NULL,NULL,NULL,NULL,NULL,99.00,20.00,0.00,NULL,NULL,4.95,123.95,4,5,4,"Great food and fast delivery!","Positive",26.80,NULL,"Clear"
105651,"2024-04-01","18:39:00",35,"Delivered","Debit Card",7224," Janaki Sachar  ","Raipur",848,"Tasty Diner","Coimbatore","Fast Food",NULL,NULL,NULL,NULL,NULL,NULL,NULL,99.00,20.00,0.00,NULL,NULL,4.95,123.95,4,5,4,"Great food and fast delivery!","Positive",32.90,0.00,"Clear"
105651,"2024-04-01","18:39:00",35,"Delivered","Debit Card",7224," Janaki Sachar  ","Raipur",848,"Tasty Diner","Coimbatore","Fast Food",NULL,NULL,NULL,NULL,NULL,NULL,NULL,99.00,20.00,0.00,NULL,NULL,4.95,123.95,4,5,4,"Great food and fast delivery!","Positive",33.80,24.70,"Clear"
105652,"2023-04-08","17:06:00",31,"Cancelled","UPI",10147,"Matthew Dhar","Raipur",647,"The House","Vadodara","Chinese",NULL,NULL,NULL,NULL,NULL,NULL,NULL,566.00,25.00,0.00,NULL,NULL,28.30,619.30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
105653,"2023-12-01","20:15:00",34,"Food Not Delivered","Net Banking",8660,"Charita Dhaliwal","Hyderabad",401,"grand bites","Lucknow","BBQ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,516.00,49.00,258.00,"ZOM5HQ3L","Great Indian Food Fest",25.80,332.80,4,5,4,"Best biryani in town!","Positive",NULL,NULL,NULL
105654,"2024-02-10","22:03:00",52,"Cancelled","Cash on Delivery",2045,"Mohini Bhandari","Bhubaneswar",754,"Grand House","Chandigarh","Thai",NULL,NULL,NULL,NULL,NULL,NULL,NULL,483.00,40.00,0.00,NULL,NULL,24.15,547.15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
105655,"2023-11-12","14:10:00",45,"Delivered","Cash on Delivery",11272,"bhavika mall","Bhubaneswar",724,"Golden Diner","Mumbai","BBQ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,429.00,25.00,0.00,NULL,NULL,21.45,475.45,5,5,5,"Great food and fast delivery!","Positive",23.90,0.00,"Clear"
105656,"2024-01-25","13:44:00",35,"Delivered","UPI",8055,"Ethan Pingle","Raipur",1174,"spicy point","Chennai","Mughlai",NULL,NULL,NULL,NULL,NULL,NULL,NULL,451.00,40.00,0.00,NULL,NULL,22.55,513.55,4,3,5,"Loved the taste, will order again.","Positive",13.70,0.90,"Rainy"
105657,"2023-01-31","19:12:00",19,"Delivered","Debit Card",8194,"Nikita Bhalla","Bengaluru",799,"Green Treats","Kolkata","Biryani",NULL,NULL,NULL,NULL,NULL,NULL,NULL,304.00,20.00,91.20,"ZOMGN2K6","New User Special",15.20,248.00,5,5,5,"Packaging was excellent and food was hot.","Positive",NULL,NULL,NULL
105658,"2023-11-07","11:02:00",86,"Delivered Late","Wallet",6502,"Girindra Narula","Kolkata",951,"Blue Hub","Delhi","Sushi",NULL,NULL,NULL,NULL,NULL,NULL,NULL,696.00,30.00,69.60,"ZOMVHUJJ","Festive Feast",34.80,691.20,3,3,3,"Delivery was on time but food was mediocre.","Neutral",NULL,NULL,NULL
105659,"2023-06-01","02:59:00",13,"Delivered","Debit Card",2658,"Faras Borde","Guwahati",843,"Spicy Kitchen","Kolkata","Pizza",NULL,NULL,NULL,NULL,NULL,NULL,NULL,242.00,30.00,0.00,NULL,NULL,12.10,284.10,5,5,5,"Loved the taste, will order again.","Positive",30.60,0.00,"Cloudy"
105659,"2023-06-01","02:59:00",13,"Delivered","Debit Card",2658,"Faras Borde","Guwahati",843,"Spicy Kitchen","Kolkata","Pizza",NULL,NULL,NULL,NULL,NULL,NULL,NULL,242.00,30.00,0.00,NULL,NULL,12.10,284.10,5,5,5,"Loved the taste, will order again.","Positive",21.70,0.60,"Foggy"
105660,"2023-03-24","11:39:00",31,"Delivered","Wallet",6569,"Dominic Kota","Bengaluru",487,"Urban House","Chandigarh","Seafood",NULL,NULL,NULL,NULL,NULL,NULL,NULL,361.00,40.00,0.00,NULL,NULL,18.05,419.05,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
105661,"2024-05-30","20:40:00",42,"Delivered","Wallet",6704,"Falan Ramesh","Bhubaneswar",561,"Grand Point","Raipur","South Indian",NULL,NULL,NULL,NULL,NULL,NULL,NULL,346.00,25.00,0.00,NULL,NULL,17.30,388.30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
105662,"2023-06-05","08:02:00",33,"Delivered","Wallet",10031,"Agastya Handa","Coimbatore",535,"Curry Cafe","Ahmedabad","South Indian",NULL,NULL,NULL,NULL,NULL,NULL,NULL,325.00,40.00,0.00,NULL,NULL,16.25,381.25,5,4,4,"Loved the taste, will order again.","Positive",NULL,NULL,NULL
105663,"2024-10-02","02:31:00",37,"Food Not Delivered","UPI",324,"Kashish Sundaram","Jaipur",714,"Spicy Bites","Bengaluru","Biryani",NULL,NULL,NULL,NULL,NULL,NULL,NULL,519.00,0.00,0.00,NULL,NULL,25.95,544.95,2,2,2,NULL,"Negative",26.20,5.10,"Cloudy"
105663,"2024-10-02","02:31:00",37,"Food Not Delivered","UPI",324,"Kashish Sundaram","Jaipur",714,"Spicy Bites","Bengaluru","Biryani",NULL,NULL,NULL,NULL,NULL,NULL,NULL,519.00,0.00,0.00,NULL,NULL,25.95,544.95,2,2,2,NULL,"Negative",26.70,12.50,"Rainy"
105664,"2023-01-04","18:25:00",32,"Delivered","Debit Card",10176,"Amol Som","Bengaluru",238,"Blue Bites","Indore","Seafood",NULL,NULL,NULL,NULL,NULL,NULL,NULL,392.00,25.00,0.00,NULL,NULL,19.60,436.60,3,2,2,"Delivery was on time but food was mediocre.","Neutral",NULL,NULL,NULL
105665,"2024-02-08","19:43:00",44,"Delivered","Credit Card",5631,"Aradhana Loyal","Bengaluru",1165,"Green Treats","Mumbai","Fast Food",NULL,NULL,NULL,NULL,NULL,NULL,NULL,313.00,25.00,78.25,"ZOMFCR7T","Monsoon Munchies",15.65,275.40,2,2,3,"Quality was not up to the mark.","Negative",NULL,NULL,NULL
105666,"2024-05-04","10:23:00",17,"Delivered","Net Banking",5110,"Faqid Zachariah","Visakhapatnam",348,"Urban Grill","Kochi","Italian",NULL,NULL,NULL,NULL,NULL,NULL,NULL,264.00,40.00,0.00,NULL,NULL,13.20,317.20,5,5,5,"Delivery partner was very polite.","Positive",NULL,NULL,NULL
105667,"2024-08-18","19:04:00",29,"Cancelled","Wallet",6393,"Ishaan Menon","Bangalore",824,"Royal Bites","Delhi","Continental",NULL,NULL,NULL,NULL,NULL,NULL,NULL,221.00,20.00,33.15,"ZOMQNWV2","Summer Splash",11.05,218.90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
105668,"2023-08-29","19:00:00",54,"Delivered Late","Net Banking",10812,"Wriddhish Behl","Chennai",744,"Spicy Bites","Bengaluru","BBQ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,488.00,0.00,0.00,NULL,NULL,24.40,512.40,4,5,4,"Packaging was excellent and food was hot.","Positive",NULL,NULL,NULL
105669,"2024-02-16","12:34:00",25,"Cancelled","Debit Card",3923,"Waida Trivedi","Jaipur",155,"Urban House","Raipur","Italian",NULL,NULL,NULL,NULL,NULL,NULL,NULL,191.00,49.00,0.00,NULL,NULL,9.55,249.55,NULL,NULL,NULL,NULL,NULL,14.30,0.10,"Clear"
105670,"2024-10-13","20:20:00",36,"Delivered","Net Banking",11301,"Eesha Bath","Patna",527,"Grand Kitchen","Pune","BBQ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,328.00,0.00,0.00,NULL,NULL,16.40,344.40,4,3,5,"Great food and fast delivery!","Positive",NULL,NULL,NULL
105671,"2023-12-18","14:48:00",48,"Cancelled","Credit Card",9835,"Dhruv Mohan","Indore",556,"Green Hub","Indore","Pizza",NULL,NULL,NULL,NULL,NULL,NULL,NULL,921.00,0.00,0.00,NULL,NULL,46.05,967.05,NULL,NULL,NULL,NULL,NULL,13.80,1.50,"Clear"
105672,"2023-05-01","14:47:00",66,"Delivered Late","UPI",9189,"Victor Mandal","Pune",1135,"The Treats","Delhi","Mexican",NULL,NULL,NULL,NULL,NULL,NULL,NULL,520.00,49.00,0.00,NULL,NULL,26.00,595.00,3,2,4,"Average experience.","Neutral",19.70,11.40,"Clear"
105673,"2024-08-31","12:09:00",47,"Food Not Delivered","Net Banking",9644,"Mohini Goel","Chennai",1039,"Blue Hub","Bhubaneswar","South Indian",NULL,NULL,NULL,NULL,NULL,NULL,NULL,543.00,49.00,217.20,"ZOM1SRWB","Late Night Cravings",27.15,401.95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
105674,"2024-04-02","11:55:00",33,"Food Not Delivered","Debit Card",478,"Daksh Devi","Bhubaneswar",358,"Urban Point","Indore","Desserts",NULL,NULL,NULL,NULL,NULL,NULL,NULL,446.00,30.00,66.90,"ZOM92JB0","Summer Splash",22.30,431.40,NULL,NULL,NULL,NULL,NULL,35.00,8.60,"Foggy"
105675,"2024-02-02","13:45:00",29,"Delivered","Cash on Delivery",6041,"Azaan Badal","Bhopal",1182,"Curry Corner","Kochi","Seafood",NULL,NULL,NULL,NULL,NULL,NULL,NULL,114.00,0.00,11.40,"ZOME5F2M","New User Special",5.70,108.30,5,5,5,"Amazing experience overall.","Positive",NULL,NULL,NULL
105676,"2024-08-14","20:57:00",73,"Delivered Late","UPI",1395,"Ekaja Oak","Hyderabad",9,"Royal Cafe","Bhopal","Chinese",NULL,NULL,NULL,NULL,NULL,NULL,NULL,270.00,30.00,0.00,NULL,NULL,13.50,313.50,4,5,3,"Amazing experience overall.","Positive",NULL,NULL,NULL
105677,"2024-08-15","19:53:00",37,"Delivered","Cash on Delivery",6211,"Meera Chatterjee","Bengaluru",1163,"Royal Kitchen","Chandigarh","BBQ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,495.00,30.00,99.00,"ZOMVX6UU","Summer Splash",24.75,450.75,NULL,NULL,NULL,NULL,NULL,20.40,24.70,"Rainy"
105678,"2023-08-29","16:47:00",8,"Delivered","Cash on Delivery",8320,"Maanav Edwin","Indore",333," Blue House  ","Mumbai","Fast Food",NULL,NULL,NULL,NULL,NULL,NULL,NULL,223.00,20.00,0.00,NULL,NULL,11.15,254.15,5,5,5,"Delivery partner was very polite.","Positive",NULL,NULL,NULL
105679,"2023-06-30","22:50:00",43,"Delivered","Debit Card",4390,"Ekalinga Dhaliwal","Nashik",451,"Blue Cafe","Pune","Mexican",NULL,NULL,NULL,NULL,NULL,NULL,NULL,607.00,0.00,0.00,NULL,NULL,30.35,637.35,4,3,5,"Best biryani in town!","Positive",24.90,84.20,"Cloudy"
105680,"2023-05-12","19:59:00",47,"Delivered","Net Banking",7718,"Krishna Chaudhary","Ahmedabad",754,"Grand House","Chandigarh","Thai",NULL,NULL,NULL,NULL,NULL,NULL,NULL,458.00,30.00,0.00,NULL,NULL,22.90,510.90,5,5,5,"Best biryani in town!","Positive",NULL,NULL,NULL
105681,"2024-08-19","15:39:00",37,"Cancelled","Wallet",10195,"Hemani Chhabra","Surat",537,"Curry Kitchen","Visakhapatnam","Street Food",NULL,NULL,NULL,NULL,NULL,NULL,NULL,322.00,30.00,0.00,NULL,NULL,16.10,368.10,NULL,NULL,NULL,NULL,NULL,20.70,0.00,"Cloudy"
105682,"2024-02-08","23:49:00",40,"Cancelled","Wallet",1487,"Dayamai Kapadia","Kolkata",715,"Curry Cafe","Raipur","Continental",NULL,NULL,NULL,NULL,NULL,NULL,NULL,268.00,40.00,0.00,NULL,NULL,13.40,321.40,NULL,NULL,NULL,NULL,NULL,22.20,135.90,"Cloudy"
105683,"2024-03-24","08:42:00",51,"Delivered Late","Credit Card",7849,"Yashasvi Padmanabhan","Bengaluru",739,"Green Corner","Vadodara","South Indian",NULL,NULL,NULL,NULL,NULL,NULL,NULL,290.00,40.00,0.00,NULL,NULL,14.50,344.50,NULL,NULL,NULL,NULL,NULL,33.40,0.00,"Foggy"
105684,"2023-08-28","10:57:00",30,"Delivered","Wallet",1353,"Baghyawati Bakshi","Ludhiana",493,"Spicy Bites","Bengaluru","Pizza",NULL,NULL,NULL,NULL,NULL,NULL,NULL,475.00,40.00,47.50,"ZOMT7KHE","New User Special",23.75,491.25,5,5,5,"Amazing experience overall.","Positive",30.80,358.90,"Rainy"
105684,"2023-08-28","10:57:00",30,"Delivered","Wallet",1353,"Baghyawati Bakshi","Ludhiana",493,"Spicy Bites","Bengaluru","Pizza",NULL,NULL,NULL,NULL,NULL,NULL,NULL,475.00,40.00,47.50,"ZOMT7KHE","New User Special",23.75,491.25,5,5,5,"Amazing experience overall.","Positive",30.50,413.50,"Clear"
105684,"2023-08-28","10:57:00",30,"Delivered","Wallet",1353,"Baghyawati Bakshi","Ludhiana",493,"Spicy Bites","Bengaluru","Pizza",NULL,NULL,NULL,NULL,NULL,NULL,NULL,475.00,40.00,47.50,"ZOMT7KHE","New User Special",23.75,491.25,5,5,5,"Amazing experience overall.","Positive",27.30,0.00,"Clear"
